text,brand,sentiment,sentiment_simple,parent_brand
".@wesley83 i have a 3g iphone. after 3 hrs tweeting at #rise_austin, it was dead!  i need to upgrade. plugin stations at #sxsw.",iPhone,Negative emotion,Negative,Apple
"@jessedee know about @fludapp ? awesome ipad/iphone app that you'll likely appreciate for its design. also, they're giving free ts at #sxsw",iPad or iPhone App,Positive emotion,Positive,Apple
@swonderlin can not wait for #ipad 2 also. they should sale them down at #sxsw.,iPad,Positive emotion,Positive,Apple
@sxsw i hope this year's festival isn't as crashy as this year's iphone app. #sxsw,iPad or iPhone App,Negative emotion,Negative,Apple
"@sxtxstate great stuff on fri #sxsw: marissa mayer (google), tim o'reilly (tech books/conferences) &amp; matt mullenweg (wordpress)",Google,Positive emotion,Positive,Google
@teachntech00 new ipad apps for #speechtherapy and communication are showcased at the #sxsw conference http://ht.ly/49n4m #iear #edchat #asd,Apple,No emotion toward brand or product,Neutral,Apple
"#sxsw is just starting, #ctia is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,Positive,Google
beautifully smart and simple idea rt @madebymany @thenextweb wrote about our #hollergram ipad app for #sxsw! http://bit.ly/ieavob,iPad or iPhone App,Positive emotion,Positive,Apple
counting down the days to #sxsw plus strong canadian dollar means stock up on apple gear,Apple,Positive emotion,Positive,Apple
excited to meet the @samsungmobileus at #sxsw so i can show them my sprint galaxy s still running android 2.1.   #fail,Android,Positive emotion,Positive,Google
find &amp; start impromptu parties at #sxsw with @hurricaneparty http://bit.ly/gvlrin i can't wait til the android app comes out.,Android App,Positive emotion,Positive,Google
"foursquare ups the game, just in time for #sxsw http://j.mp/grn7pk) - still prefer @gowalla by far, best looking android app to date.",Android App,Positive emotion,Positive,Google
gotta love this #sxsw google calendar featuring top parties/ show cases to check out.  rt @hamsandwich via @ischafer =&gt;http://bit.ly/axzwxb,Other Google product or service,Positive emotion,Positive,Google
great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,Positive,Apple
"haha, awesomely rad ipad app by @madebymany http://bit.ly/htdfim #hollergram #sxsw",iPad or iPhone App,Positive emotion,Positive,Apple
holler gram for ipad on the itunes app store -  http://t.co/kfn3f5q (via @marc_is_ken) #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
i just noticed dst is coming this weekend. how many iphone users will be an hour late at sxsw come sunday morning? #sxsw #iphone,iPhone,Negative emotion,Negative,Apple
"just added my #sxsw flights to @planely. matching people on planes/airports. also downloaded the @klm iphone app, nicely done.",iPad or iPhone App,Positive emotion,Positive,Apple
must have #sxsw app! rt @malbonster: lovely review from forbes for our sxsw ipad app holler gram - http://t.co/g4gzypv,iPad or iPhone App,Positive emotion,Positive,Apple
need to buy an ipad2 while i'm in austin at #sxsw. not sure if i'll need to q up at an austin apple store?,iPad,Positive emotion,Positive,Apple
"oh. my. god. the #sxsw app for ipad is pure, unadulterated awesome. it's easier to browse events on ipad than on the website!!!",iPad or iPhone App,Positive emotion,Positive,Apple
"okay, this is really it: yay new @foursquare for #android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,Positive,Google
"photo: just installed the #sxsw iphone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,Positive,Apple
really enjoying the changes in gowalla 3.0 for android! looking forward to seeing what else they &amp; foursquare have up their sleeves at #sxsw,Android App,Positive emotion,Positive,Google
"rt @laurieshook: i'm looking forward to the #smcdallas pre #sxsw party wed., and hoping i'll win an #ipad resulting from my shameless promotion.  #chevysmc",iPad,Positive emotion,Positive,Apple
"rt haha, awesomely rad ipad app by @madebymany http://bit.ly/htdfim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,Positive,Apple
"someone started an #austin @partnerhub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,Positive,Google
the new #4sq3 looks like it is going to rock. update for iphone and android should push tonight http://bit.ly/etsbzk #sxsw #keepaustinweird,iPad or iPhone App,Positive emotion,Positive,Apple
"they were right, the @gowalla 3 app on #android is sweeeeet! nice job by the team there. #sxsw",Android App,Positive emotion,Positive,Google
very smart from @madebymany #hollergram ipad app for #sxsw! http://t.co/a3xvwc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,Positive,Apple
you must have this app for your ipad if you are going to #sxsw http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,Positive,Apple
"attn: all  #sxsw frineds, @mention register for #gdgtlive  and see cobra iradar for android. {link}",Google,No emotion toward brand or product,Neutral,Google
anyone at  #sxsw want to sell their old ipad?,Apple,No emotion toward brand or product,Neutral,Apple
anyone at  #sxsw who bought the new ipad want to sell their older ipad to me?,Apple,No emotion toward brand or product,Neutral,Apple
"at #sxsw.  oooh. rt @mention google to launch major new social network called circles, possibly today {link}",Google,No emotion toward brand or product,Neutral,Google
the best!  rt @mention ha! first in line for #ipad2 at #sxsw &quot;pop-up&quot; apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,Positive,Apple
spin play - a new concept in music discovery for your ipad from @mention &amp; spin.com {link} #itunes #sxsw @mention,Apple,No emotion toward brand or product,Neutral,Apple
@mention  - false alarm: google circles not coming nowûòand probably not ever? - {link} #google #circles #social #sxsw,Google,Negative emotion,Negative,Google
vatornews - google and apple force print media to evolve? {link} #sxsw,Apple,No emotion toward brand or product,Neutral,Apple
@mention  - great weather to greet you for #sxsw! still need a sweater at night..apple putting up &quot;flash store&quot; downtown to sell ipad2,Apple,Positive emotion,Positive,Apple
"hootsuite - hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android: whether youûªre getting friend... {link}",Apple,No emotion toward brand or product,Neutral,Apple
hey #sxsw - how long do you think it takes us to make an iphone case? answer @mention using #zazzlesxsw and weûªll make you one!,Apple,No emotion toward brand or product,Neutral,Apple
mashable! - the ipad 2 takes over sxsw [video] #ipad #sxsw #gadgets {link},Apple,No emotion toward brand or product,Neutral,Apple
for i-pad ?rt @mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by ... {link},Apple,No emotion toward brand or product,Neutral,Apple
#ipad2 's û÷#smartcoverûª opens to instant access - i should have waited to get one! - {link} #apple #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple
